"SampleID","DATE","WEIR-REP","value_mgm2","value_rfu","weir","rep","surface_area","notes_fromRFU","notes_calculation","slp","int"
"CH210053",2021-04-26,"W4-M",0.40566922046467,366.01,"W4","M",0.003431125976,NA,NA,0.26,0
"CH210056",2021-04-26,"W5-M",0.628089874354037,552.31,"W5","M",0.003372880676,NA,NA,0.26,0
"CH210060",2021-04-26,"W6-WM",3.76814424003317,3389.43,"W6","WM",0.003498602856,NA,NA,0.26,0
"CH210062",2021-04-26,"W9-M",0.44372601105829,457.19,"W9","M",0.003938250534,NA,NA,0.26,0
"CH210003",2021-04-12,"W1-WM",1.71002683299921,1597.54,"W1","WM",0.00362267368,NA,NA,0.26,0
"CH210006",2021-04-12,"W2-WM",2.78286320911087,2377.31,"W2","WM",0.003318873946,NA,NA,0.26,0
"CH210009",2021-04-12,"W3-WM",2.6160018302217,2680.22,"W3","WM",0.003982153636,NA,NA,0.26,0
"CH210012",2021-04-12,"W4-WM",2.25346405927575,1961.65,"W4","WM",0.00337919665,NA,NA,0.26,0
"CH210015",2021-04-12,"W5-WM",2.14752669639714,2010.09,"W5","WM",0.003633861322,NA,NA,0.26,0
"CH210018",2021-04-12,"W6-WM",2.33927024715109,2248.38,"W6","WM",0.003733277594,NA,NA,0.26,0
"CH210024",2021-04-19,"W1-WM",2.09404063145456,1951.57,"W1","WM",0.003617688256,NA,NA,0.26,0
"CH210027",2021-04-19,"W2-WM",2.22558198571069,2040.75,"W2","WM",0.003560142134,NA,NA,0.26,0
"CH210030",2021-04-19,"W3-WM",2.74572532570057,2668.01,"W3","WM",0.00377667136,NA,NA,0.26,0
"CH210033",2021-04-19,"W4-WM",1.94614872297348,1972.7,"W4","WM",0.003934947576,NA,NA,0.26,0
"CH210036",2021-04-19,"W5-WM",2.21821337863847,2092.36,"W5","WM",0.00366270769,NA,NA,0.26,0
"CH210039",2021-04-19,"W6-WM",2.56005504755383,2528.31,"W6","WM",0.00383775818,NA,NA,0.26,0
"CH210042",2021-04-19,"W9-WM",3.16584429805748,3074.82,"W9","WM",0.003776642208,NA,NA,0.26,0
"CH210045",2021-04-26,"W1-WM",1.80340958772118,1800.08,"W1","WM",0.003873094192,NA,NA,0.26,0
"CH210048",2021-04-26,"W2-WM",2.06717759647608,2002.78,"W2","WM",0.003761314564,NA,NA,0.26,0
"CH210051",2021-04-26,"W3-WM",3.3665894827034,3493.38,"W3","WM",0.004036323784,NA,NA,0.26,0
"CH210054",2021-04-26,"W4-WM",2.46117029751294,2247.43,"W4","WM",0.003546865574,NA,NA,0.26,0
"CH210057",2021-04-26,"W5-WM",2.4175029038813,2406.17,"W5","WM",0.003867017568,NA,NA,0.26,0
"CH210063",2021-04-26,"W9-WM",2.83945705762512,2650.72,"W9","WM",0.00362825392,NA,NA,0.26,0
"CH210059",2021-04-26,"W6-M",1.59893945897549,1627.86,"W6","M",0.003948315344,NA,NA,0.26,0
"CH210700",2021-04-12,"W1-WM-zero",2.66965719765416,1992.87,"W1","WM-zero",0.00386288952,"overwintered from weir not placed in phytometer",NA,0.26,0
"CH210701",2021-04-12,"W2-WM-zero",1.54883160847858,1162.29,"W2","WM-zero",0.003869739472,"overwintered from weir not placed in phytometer",NA,0.26,0
"CH210702",2021-04-12,"W3-WM-zero",5.41333039224973,3860.71,"W3","WM-zero",0.0036992678,"overwintered from weir not placed in phytometer",NA,0.26,0
"CH210703",2021-04-12,"W4-WM-zero",2.91979161244747,1887.47,"W4","WM-zero",0.003344249216,"overwintered from weir not placed in phytometer",NA,0.26,0
"CH210704",2021-04-12,"W5-WM-zero",3.76848932310958,2662.76,"W5","WM-zero",0.00366088839,"overwintered from weir not placed in phytometer",NA,0.26,0
"CH210705",2021-04-12,"W6-WM-zero",3.26994359066138,2236.06,"W6","WM-zero",0.00354048273,"overwintered from weir not placed in phytometer",NA,0.26,0
"CH210706",2021-04-12,"W9-WM-zero",1.70512969727971,1100.75,"W9","WM-zero",0.00332735206,"overwintered from weir not placed in phytometer",NA,0.26,0
"CH210064",2021-05-03,"W1-T",0.390827013675469,90.71,"W1","T",0.001078121,NA,NA,0.26,0
"CH210067",2021-05-03,"W2-T",0.0469324044432961,19.41,"W2","T",0.001078121,NA,NA,0.26,0
"CH210070",2021-05-03,"W3-T",0.249796461446174,61.47,"W3","T",0.001078121,NA,NA,0.26,0
"CH210073",2021-05-03,"W4-T",0.811410603087048,177.91,"W4","T",0.001078121,NA,NA,0.26,0
"CH210076",2021-05-03,"W5-T",0.0842157891468683,27.14,"W5","T",0.001078121,NA,NA,0.26,0
"CH210079",2021-05-03,"W6-T",0.877826153846193,191.68,"W6","T",0.001078121,NA,NA,0.26,0
"CH210082",2021-05-03,"W9-T",1.37929491291869,295.65,"W9","T",0.001078121,NA,NA,0.26,0
"CH210085",2021-05-10,"W1-T",0.482709093701737,109.76,"W1","T",0.001078121,NA,NA,0.26,0
"CH210088",2021-05-10,"W2-T",0.0199224491599837,13.81,"W2","T",0.001078121,NA,NA,0.26,0
"CH210091",2021-05-10,"W3-T",0.225921590258246,56.52,"W3","T",0.001078121,NA,NA,0.26,0
"CH210094",2021-05-10,"W4-T",0.534028008740031,120.4,"W4","T",0.001078121,NA,NA,0.26,0
"CH210097",2021-05-10,"W5-T",0.267787020947381,65.2,"W5","T",0.001078121,NA,NA,0.26,0
"CH210100",2021-05-10,"W6-T",0.951862370560272,207.03,"W6","T",0.001078121,NA,NA,0.26,0
"CH210103",2021-05-10,"W9-T",0.399605249142546,92.53,"W9","T",0.001078121,NA,NA,0.26,0
"CH210106",2021-05-17,"W1-T",0.965753204705975,209.91,"W1","T",0.001078121,NA,NA,0.26,0
"CH210109",2021-05-17,"W2-T",0.0573022979895678,21.56,"W2","T",0.001078121,NA,NA,0.26,0
"CH210112",2021-05-17,"W3-T",0.584864603148265,130.94,"W3","T",0.001078121,NA,NA,0.26,0
"CH210115",2021-05-17,"W4-T",0.764191413404257,168.12,"W4","T",0.001078121,NA,NA,0.26,0
"CH210118",2021-05-17,"W5-T",0.308398417998361,73.62,"W5","T",0.001078121,NA,NA,0.26,0
"CH210121",2021-05-17,"W6-T",1.47913528334093,316.35,"W6","T",0.001078121,NA,NA,0.26,0
"CH210124",2021-05-17,"W9-T",1.1298386830521,243.93,"W9","T",0.001078121,NA,NA,0.26,0
"CH210127",2021-05-24,"W1-T",1.59513339487016,340.4,"W1","T",0.001078121,NA,NA,0.26,0
"CH210130",2021-05-24,"W2-T",0.169924165108379,44.91,"W2","T",0.001078121,NA,NA,0.26,0
"CH210133",2021-05-24,"W3-T",0.644286504771552,143.26,"W3","T",0.001078121,NA,NA,0.26,0
"CH210136",2021-05-24,"W4-T",0.954756294340627,207.63,"W4","T",0.001078121,NA,NA,0.26,0
"CH210139",2021-05-24,"W5-T",0.823758011216562,180.47,"W5","T",0.001078121,NA,NA,0.26,0
"CH210142",2021-05-24,"W6-T",2.47266754919977,522.34,"W6","T",0.001078121,NA,NA,0.26,0
"CH210145",2021-05-24,"W9-T",2.39009425733365,505.22,"W9","T",0.001078121,NA,NA,0.26,0
"CH210148",2021-06-01,"W1-T",2.07446363702294,439.78,"W1","T",0.001078121,NA,NA,0.26,0
"CH210151",2021-06-01,"W2-T",0.170792342242486,45.09,"W2","T",0.001078121,NA,NA,0.26,0
"CH210154",2021-06-01,"W3-T",1.22302302877953,263.25,"W3","T",0.001078121,NA,NA,0.26,0
"CH210157",2021-06-01,"W4-T",0.878115546224228,191.74,"W4","T",0.001078121,NA,NA,0.26,0
"CH210160",2021-06-01,"W5-T",1.0327957722842,223.81,"W5","T",0.001078121,NA,NA,0.26,0
"CH210163",2021-06-01,"W6-T",1.63328495670784,348.31,"W6","T",0.001078121,NA,NA,0.26,0
"CH210166",2021-06-01,"W9-T",2.4402556028598,515.62,"W9","T",0.001078121,NA,NA,0.26,0
"CH210169",2021-06-07,"W1-T",1.55476315813421,332.03,"W1","T",0.001078121,NA,NA,0.26,0
"CH210172",2021-06-07,"W2-T",0.283607137613321,68.48,"W2","T",0.001078121,NA,NA,0.26,0
"CH210175",2021-06-07,"W3-T",1.10967768071563,239.75,"W3","T",0.001078121,NA,NA,0.26,0
"CH210178",2021-06-07,"W4-T",0.970962267510614,210.99,"W4","T",0.001078121,NA,NA,0.26,0
"CH210181",2021-06-07,"W5-T",1.06506302243515,230.5,"W5","T",0.001078121,NA,NA,0.26,0
"CH210184",2021-06-07,"W6-T",1.81540922661817,386.07,"W6","T",0.001078121,NA,NA,0.26,0
"CH210187",2021-06-07,"W9-T",2.31572041617853,489.8,"W9","T",0.001078121,NA,NA,0.26,0
"CH210205",2021-06-15,"W6-T",1.91028169455081,405.74,"W6","T",0.001078121,NA,NA,0.26,0
"CH210193",2021-06-15,"W2-T",0.578690899083508,129.66,"W2","T",0.001078121,NA,NA,0.26,0
"CH210196",2021-06-15,"W3-T",1.41653006555926,303.37,"W3","T",0.001078121,NA,NA,0.26,0
"CH210199",2021-06-15,"W4-T",0.661987671894723,146.93,"W4","T",0.001078121,NA,NA,0.26,0
"CH210202",2021-06-15,"W5-T",0.975351385244153,211.9,"W5","T",0.001078121,NA,NA,0.26,0
"CH210190",2021-06-15,"W1-T",1.47108052881895,314.68,"W1","T",0.001078121,NA,NA,0.26,0
"CH210208",2021-06-15,"W9-T",1.77465313337817,377.62,"W9","T",0.001078121,NA,NA,0.26,0
"CH210212",2021-06-21,"W1-T",1.73790030136767,370,"W1","T",0.001078121,NA,NA,0.26,0
"CH210214",2021-06-21,"W2-T",0.567838684907177,127.41,"W2","T",0.001078121,NA,NA,0.26,0
"CH210217",2021-06-21,"W3-T",2.36482065631855,499.98,"W3","T",0.001078121,NA,NA,0.26,0
"CH210220",2021-06-21,"W4-T",1.04741008737499,226.84,"W4","T",0.001078121,NA,NA,0.26,0
"CH210223",2021-06-21,"W5-T",1.67341403312876,356.63,"W5","T",0.001078121,NA,NA,0.26,0
"CH210226",2021-06-21,"W6-T",2.75632031173756,581.15,"W6","T",0.001078121,NA,NA,0.26,0
"CH210229",2021-06-21,"W9-T",2.00997736878403,426.41,"W9","T",0.001078121,NA,NA,0.26,0
"CH210066",2021-05-03,"W1-WM",2.57600326668928,1818.2,"W1","WM",0.003650735592,NA,NA,0.26,0
"CH210069",2021-05-03,"W2-WM",2.2321869229737,1668.76,"W2","WM",0.003864917728,NA,NA,0.26,0
"CH210072",2021-05-03,"W3-WM",4.20121862614686,3045.45,"W3","WM",0.00375748282,NA,NA,0.26,0
"CH210075",2021-05-03,"W4-WM",3.69854623561317,2529.41,"W4","WM",0.003542634856,NA,NA,0.26,0
"CH210078",2021-05-03,"W5-WM",2.38318884594063,1849.98,"W5","WM",0.004015444612,NA,NA,0.26,0
"CH210081",2021-05-03,"W6-WM",3.41021412523407,2612.38,"W6","WM",0.003968678304,NA,NA,0.26,0
"CH210084",2021-05-03,"W9-WM",3.95929082366638,2477.16,"W9","WM",0.003240706324,NA,NA,0.26,0
"CH210087",2021-05-10,"W1-WM",3.47237690607218,2815.01,"W1","WM",0.004201075864,NA,NA,0.26,0
"CH210090",2021-05-10,"W2-WM",1.77519794479537,1192.29,"W2","WM",0.003464162872,NA,NA,0.26,0
"CH210093",2021-05-10,"W3-WM",4.99896022541751,3576.01,"W3","WM",0.003709755224,NA,NA,0.26,0
"CH210096",2021-05-10,"W4-WM",3.47398905395797,2208.23,"W4","WM",0.003290874736,NA,NA,0.26,0
"CH210099",2021-05-10,"W5-WM",2.2218131708781,1796.9,"W5","WM",0.004182866018,NA,NA,0.26,0
"CH210102",2021-05-10,"W6-WM",4.70096823488265,3445.42,"W6","WM",0.00380046193,NA,NA,0.26,0
"CH210105",2021-05-10,"W9-WM",3.35833250865033,2535.51,"W9","WM",0.003910964378,NA,NA,0.26,0
"CH210108",2021-05-17,"W1-WM",5.20898726520029,4344.25,"W1","WM",0.00432709194,NA,NA,0.26,0
"CH210111",2021-05-17,"W2-WM",1.78767614560147,1377.37,"W2","WM",0.00397834408,NA,NA,0.26,0
"CH210114",2021-05-17,"W3-WM",5.42345528571008,3732.42,"W3","WM",0.003569357502,NA,NA,0.26,0
"CH210117",2021-05-17,"W4-WM",4.15635111055533,3087.75,"W4","WM",0.003850966,NA,NA,0.26,0
"CH210120",2021-05-17,"W5-WM",1.90680605648321,1345.85,"W5","WM",0.003643835086,NA,NA,0.26,0
"CH210123",2021-05-17,"W6-WM",3.40517422128001,3507.45,"W6","WM",0.00534140270919054,NA,NA,0.26,0
"CH210126",2021-05-17,"W9-WM",4.85943081791376,3333.11,"W9","WM",0.003556350416,NA,NA,0.26,0
"CH210129",2021-05-24,"W1-WM",6.0709492009534,4658.4,"W1","WM",0.0039818068,NA,NA,0.26,0
"CH210132",2021-05-24,"W2-WM",1.81207455561362,1413.63,"W2","WM",0.004028831368,NA,NA,0.26,0
"CH210135",2021-05-24,"W3-WM",4.54962224193869,3352.49,"W3","WM",0.00382067211,NA,NA,0.26,0
"CH210138",2021-05-24,"W4-WM",3.58117259652209,2411.67,"W4","WM",0.003487782416,NA,NA,0.26,0
"CH210141",2021-05-24,"W5-WM",2.89057821142461,2020.09,"W5","WM",0.003616624096,NA,NA,0.26,0
"CH210144",2021-05-24,"W6-WM",6.4063588773498,4672.77,"W6","WM",0.003785000384,NA,NA,0.26,0
"CH210147",2021-05-24,"W9-WM",5.35276642143948,3926.84,"W9","WM",0.0038053659,NA,NA,0.26,0
"CH210150",2021-06-01,"W1-WM",5.37919722675727,4232.86,"W1","WM",0.004082493704,NA,NA,0.26,0
"CH210153",2021-06-01,"W2-WM",3.06043438286019,2224.08,"W2","WM",0.003762499492,NA,NA,0.26,0
"CH210156",2021-06-01,"W3-WM",4.78151699216547,3555.47,"W3","WM",0.00385612157,NA,NA,0.26,0
"CH210159",2021-06-01,"W4-WM",3.5684656925121,2582.73,"W4","WM",0.003749472172,NA,NA,0.26,0
"CH210162",2021-06-01,"W5-WM",2.69438748326949,2109.92,"W5","WM",0.004053333412,NA,NA,0.26,0
"CH210165",2021-06-01,"W6-WM",6.07644767819128,5049.4,"W6","WM",0.00431280712,NA,NA,0.26,0
"CH210168",2021-06-01,"W9-WM",5.90656650897162,4382.78,"W9","WM",0.003849973208,NA,NA,0.26,0
"CH210171",2021-06-07,"W1-WM",4.12576106249609,3467.88,"W1","WM",0.004358624394,NA,NA,0.26,0
"CH210174",2021-06-07,"W2-WM",2.3667516188104,1878.92,"W2","WM",0.004106916304,NA,NA,0.26,0
"CH210177",2021-06-07,"W3-WM",4.72753594203782,3205.43,"W3","WM",0.003515129872,NA,NA,0.26,0
"CH210180",2021-06-07,"W4-WM",3.65456604831305,2615.28,"W4","WM",0.003707450524,NA,NA,0.26,0
"CH210183",2021-06-07,"W5-WM",3.13632744333263,2115.74,"W5","WM",0.003491827626,NA,NA,0.26,0
"CH210186",2021-06-07,"W6-WM",5.93415215089077,4398.19,"W6","WM",0.00384557966,NA,NA,0.26,0
"CH210189",2021-06-07,"W9-WM",5.55905472012583,4242.79,"W9","WM",0.003959697452,NA,NA,0.26,0
"CH210207",2021-06-15,"W6-WM",6.72227526886191,4351.86,"W6","WM",0.0033588834,NA,NA,0.26,0
"CH210195",2021-06-15,"W2-WM",4.53077344887075,2925.07,"W2","WM",0.003346013872,NA,NA,0.26,0
"CH210201",2021-06-15,"W4-WM",3.46313276801973,2562.39,"W4","WM",0.00383297312,NA,NA,0.26,0
"CH210198",2021-06-15,"W3-WM",4.40901772538892,3043.23,"W3","WM",0.0035777726,NA,NA,0.26,0
"CH210204",2021-06-15,"W5-WM",2.41593981185108,1776.13,"W5","WM",0.003802057802,NA,NA,0.26,0
"CH210210",2021-06-15,"W9-WM",NA,NA,"W9","WM",0.00431760325,"Lost",NA,NA,NA
"CH210216",2021-06-21,"W2-WM",5.33854306339774,3933.78,"W2","WM",0.003822264346,NA,NA,0.26,0
"CH210192",2021-06-15,"W1-WM",3.96848881851831,2987.2,"W1","WM",0.003901512016,NA,NA,0.26,0
"CH210219",2021-06-21,"W3-WM",4.53164385552559,3512.91,"W3","WM",0.004019909638,NA,NA,0.26,0
"CH210213",2021-06-21,"W1-WM",4.58692165153004,3512.65,"W1","WM",0.003971170252,NA,NA,0.26,0
"CH210222",2021-06-21,"W4-WM",4.02578682416372,3078.2,"W4","WM",0.003963525022,NA,NA,0.26,0
"CH210225",2021-06-21,"W5-WM",2.28737763169301,1771.95,"W5","WM",0.004006250076,NA,NA,0.26,0
"CH210228",2021-06-21,"W6-WM",5.12671957274946,3855.09,"W6","WM",0.003900376162,NA,NA,0.26,0
"CH210231",2021-06-21,"W9-WM",5.66141770012238,4263.34,"W9","WM",0.003906978072,"duplicated, changed from 230 to 231",NA,0.26,0
"CH210065",2021-05-03,"W1-M",1.33167719022851,917.81,"W1","M",0.003546113762,NA,NA,0.26,0
"CH210068",2021-05-03,"W2-M",0.200784036862717,139.78,"W2","M",0.003369405364,NA,NA,0.26,0
"CH210071",2021-05-03,"W3-M",1.39650586895566,1117.52,"W3","M",0.00412513183,NA,NA,0.26,0
"CH210074",2021-05-03,"W4-M",1.94478988812358,1411.87,"W4","M",0.003749192062,NA,NA,0.26,0
"CH210077",2021-05-03,"W5-M",1.37707975702843,1040.34,"W5","M",0.0038918841,NA,NA,0.26,0
"CH210080",2021-05-03,"W6-M",3.23440850264323,2367.15,"W6","M",0.0037901356,NA,NA,0.26,0
"CH210083",2021-05-03,"W9-M",1.41228307229402,1057.18,"W9","M",0.003856877504,NA,NA,0.26,0
"CH210086",2021-05-10,"W1-M",1.58737770308991,1277.93,"W1","M",0.004154589546,NA,NA,0.26,0
"CH210089",2021-05-10,"W2-M",0.277471464563493,209.53,"W2","M",0.0037453322,NA,NA,0.26,0
"CH210092",2021-05-10,"W3-M",1.72205001699067,1382.05,"W3","M",0.004144088,NA,NA,0.26,0
"CH210095",2021-05-10,"W4-M",2.38741191339108,1680.58,"W4","M",0.003639373148,NA,NA,0.26,0
"CH210098",2021-05-10,"W5-M",1.30786108802352,1052.22,"W5","M",0.0041450968,NA,NA,0.26,0
"CH210101",2021-05-10,"W6-M",4.27442737089006,3113.57,"W6","M",0.003775998376,NA,NA,0.26,0
"CH210104",2021-05-10,"W9-M",1.53820688868373,1209.56,"W9","M",0.00405626763,NA,NA,0.26,0
"CH210107",2021-05-17,"W1-M",2.95190820982255,2329.13,"W1","M",0.004085880032,NA,NA,0.26,0
"CH210110",2021-05-17,"W2-M",0.253663381701403,201.56,"W2","M",0.003933475948,NA,NA,0.26,0
"CH210113",2021-05-17,"W3-M",2.26443110387654,1771.33,"W3","M",0.004045423504,NA,NA,0.26,0
"CH210119",2021-05-17,"W5-M",1.22329031636677,953.55,"W5","M",0.004012233846,NA,NA,0.26,0
"CH210116",2021-05-17,"W4-M",2.19789066955131,1381.17,"W4","M",0.003244816,NA,NA,0.26,0
"CH210122",2021-05-17,"W6-M",3.98532500757609,2751.37,"W6","M",0.003577321996,NA,NA,0.26,0
"CH210125",2021-05-17,"W9-M",2.41673053502482,1748.36,"W9","M",0.00374106201737462,NA,"replaced with mean moss SA",0.26,0
"CH210128",2021-05-24,"W1-M",3.55014055835161,2732.15,"W1","M",0.003987686284,NA,NA,0.26,0
"CH210131",2021-05-24,"W2-M",0.410283921585117,267.06,"W2","M",0.0032620796,NA,NA,0.26,0
"CH210134",2021-05-24,"W3-M",2.48508347328289,1664.23,"W3","M",0.00346212226,NA,NA,0.26,0
"CH210137",2021-05-24,"W4-M",2.3368011674018,1531.43,"W4","M",0.003386297012,NA,NA,0.26,0
"CH210143",2021-05-24,"W6-M",3.35577464200565,2265.34,"W6","M",0.00349529872,NA,NA,0.26,0
"CH210140",2021-05-24,"W5-M",1.0273191614959,693,"W5","M",0.003458775952,NA,NA,0.26,0
"CH210146",2021-05-24,"W9-M",3.90034409460404,2912.24,"W9","M",0.003869739296,NA,NA,0.26,0
"CH210149",2021-06-01,"W1-M",4.87912713936044,3067.01,"W1","M",0.003258394044,NA,NA,0.26,0
"CH210152",2021-06-01,"W2-M",0.467271440832762,338.87,"W2","M",0.003663375634,NA,NA,0.26,0
"CH210155",2021-06-01,"W3-M",3.21081286851794,2012.81,"W3","M",0.00324412516,NA,NA,0.26,0
"CH210158",2021-06-01,"W4-M",2.53049888614568,1780.9,"W4","M",0.003639735572,NA,NA,0.26,0
"CH210161",2021-06-01,"W5-M",2.17673972246575,1468.56,"W5","M",0.00348511066,NA,NA,0.26,0
"CH210164",2021-06-01,"W6-M",3.50816521634812,2670.99,"W6","M",0.00394474432,NA,NA,0.26,0
"CH210167",2021-06-01,"W9-M",4.85376249594139,3593.89,"W9","M",0.003839886032,NA,NA,0.26,0
"CH210170",2021-06-07,"W1-M",3.51066861370811,2495.84,"W1","M",0.003682499328,NA,NA,0.26,0
"CH210173",2021-06-07,"W2-M",0.594251626365985,404.64,"W2","M",0.00345610297,NA,NA,0.26,0
"CH210176",2021-06-07,"W3-M",2.83831587216725,1970.57,"W3","M",0.00359249332,NA,NA,0.26,0
"CH210179",2021-06-07,"W4-M",2.41856492433186,1695,"W4","M",0.00362349868,NA,NA,0.26,0
"CH210182",2021-06-07,"W5-M",2.4892626365627,2026.5,"W5","M",0.00421308168,NA,NA,0.26,0
"CH210185",2021-06-07,"W6-M",3.47860734025174,2685.98,"W6","M",0.0040006708,NA,NA,0.26,0
"CH210188",2021-06-07,"W9-M",4.48393718801418,3003.24,"W9","M",0.0034716175,NA,NA,0.26,0
"CH210206",2021-06-15,"W6-M",3.02979887355769,2291.83,"W6","M",0.003916821976,NA,NA,0.26,0
"CH210194",2021-06-15,"W2-M",1.69980075972367,1256.79,"W2","M",0.0038151382,NA,NA,0.26,0
"CH210197",2021-06-15,"W3-M",2.62709646940297,2042.78,"W3","M",0.00402426136,NA,NA,0.26,0
"CH210200",2021-06-15,"W4-M",2.42163589118783,1932.7,"W4","M",0.004129318882,NA,NA,0.26,0
"CH210191",2021-06-15,"W1-M",2.70668139086891,1873.73,"W1","M",0.00358116136,NA,NA,0.26,0
"CH210203",2021-06-15,"W5-M",1.88225011914689,1341.4,"W5","M",0.00367907896,NA,NA,0.26,0
"CH210209",2021-06-15,"W9-M",5.30817947848778,3855.04,"W9","M",0.003766992976,NA,NA,0.26,0
"CH210211",2021-06-21,"W1-M",4.97811539486791,3779.44,"W1","M",0.003937786342,NA,NA,0.26,0
"CH210218",2021-06-21,"W3-M",2.65372971801995,2115.86,"W3","M",0.004127073958,NA,NA,0.26,0
"CH210215",2021-06-21,"W2-M",1.7580369894841,1247.33,"W2","M",0.003660777816,NA,NA,0.26,0
"CH210221",2021-06-21,"W4-M",3.60058471909306,2593.42,"W4","M",0.003731463598,NA,NA,0.26,0
"CH210224",2021-06-21,"W5-M",2.56758904026209,2006.65,"W5","M",0.00404435704,NA,NA,0.26,0
"CH210227",2021-06-21,"W6-M",3.2775292002797,2566.79,"W6","M",0.004057011852,NA,NA,0.26,0
"CH210230",2021-06-21,"W9-M",6.37312682460151,4762.28,"W9","M",0.00387777044,"duplicated",NA,0.26,0
